Point_ID,Statistic_ID,Name,Duration,Month,Value,Weight,Gs,Phi,Point_ID2,Distance,Phi2
1,9,cross-correlation_lag0,24H,11,0.770669175,2,1,0.57373937,12,30.71894923,0.923772097
1,9,cross-correlation_lag0,24H,11,0.912198075,2,1,0.57373937,13,21.38471721,0.737986088
1,9,cross-correlation_lag0,24H,11,0.874941014,2,1,0.57373937,14,25.79545886,0.60712417
1,9,cross-correlation_lag0,24H,11,0.84027676,2,1,0.57373937,15,36.97039694,0.839477142
1,9,cross-correlation_lag0,24H,12,0.924941898,2,1,0.639163494,2,26.21228706,0.693267981
1,9,cross-correlation_lag0,24H,12,0.875157347,2,1,0.639163494,3,43.08104103,0.714350939
1,9,cross-correlation_lag0,24H,12,0.832732928,2,1,0.639163494,4,46.95451725,1.261343479
1,9,cross-correlation_lag0,24H,12,0.95324697,2,1,0.639163494,5,21.50425849,0.547122081
1,9,cross-correlation_lag0,24H,12,0.920097641,2,1,0.639163494,6,13.72646058,0.872612317
1,9,cross-correlation_lag0,24H,12,0.773717175,2,1,0.639163494,7,42.27067713,0.761195898
1,9,cross-correlation_lag0,24H,12,0.752610063,2,1,0.639163494,8,33.16082709,1.110373179
1,9,cross-correlation_lag0,24H,12,0.925880253,2,1,0.639163494,9,23.51627224,0.839797179
1,9,cross-correlation_lag0,24H,12,0.751212717,2,1,0.639163494,10,40.35819741,1.279986779
1,9,cross-correlation_lag0,24H,12,0.850505861,2,1,0.639163494,11,36.3266383,0.942965746
1,9,cross-correlation_lag0,24H,12,0.753609592,2,1,0.639163494,12,30.71894923,1.168586095
1,9,cross-correlation_lag0,24H,12,0.918529215,2,1,0.639163494,13,21.38471721,0.852083365
1,9,cross-correlation_lag0,24H,12,0.930194389,2,1,0.639163494,14,25.79545886,0.691954056
1,9,cross-correlation_lag0,24H,12,0.805013719,2,1,0.639163494,15,36.97039694,1.036438545
2,1,variance,1H,1,0.090049922,3,0.246950386,0.591197411,NA,NA,NA
2,1,variance,1H,2,0.056012221,3,0.246950386,0.451991598,NA,NA,NA
2,1,variance,1H,3,0.059123415,3,0.246950386,0.418702284,NA,NA,NA
2,1,variance,1H,4,0.098160222,3,0.246950386,0.333954453,NA,NA,NA
2,1,variance,1H,5,0.331775069,3,0.246950386,0.77459391,NA,NA,NA
2,1,variance,1H,6,0.74860543,3,0.246950386,0.775189002,NA,NA,NA
2,1,variance,1H,7,0.735421538,3,0.246950386,0.923405647,NA,NA,NA
2,1,variance,1H,8,0.324411035,3,0.246950386,0.705774307,NA,NA,NA
2,1,variance,1H,9,0.214589566,3,0.246950386,0.546772083,NA,NA,NA
2,1,variance,1H,10,0.100754708,3,0.246950386,0.513549606,NA,NA,NA
2,1,variance,1H,11,0.097903185,3,0.246950386,0.6046772,NA,NA,NA
2,1,variance,1H,12,0.106598325,3,0.246950386,0.693267981,NA,NA,NA
2,2,skewness,1H,1,9.978466034,3,12.70168503,0.591197411,NA,NA,NA
2,2,skewness,1H,2,7.532928467,3,12.70168503,0.451991598,NA,NA,NA
2,2,skewness,1H,3,8.551104546,3,12.70168503,0.418702284,NA,NA,NA
2,2,skewness,1H,4,17.31297493,3,12.70168503,0.333954453,NA,NA,NA
2,2,skewness,1H,5,13.65711784,3,12.70168503,0.77459391,NA,NA,NA
2,2,skewness,1H,6,21.26479149,3,12.70168503,0.775189002,NA,NA,NA
2,2,skewness,1H,7,20.72869492,3,12.70168503,0.923405647,NA,NA,NA
2,2,skewness,1H,8,14.07496738,3,12.70168503,0.705774307,NA,NA,NA
2,2,skewness,1H,9,14.25642586,3,12.70168503,0.546772083,NA,NA,NA
2,2,skewness,1H,10,9.259599686,3,12.70168503,0.513549606,NA,NA,NA
2,2,skewness,1H,11,8.067855835,3,12.70168503,0.6046772,NA,NA,NA
2,2,skewness,1H,12,7.735293388,3,12.70168503,0.693267981,NA,NA,NA
2,3,probability_dry_0.2mm,1H,1,0.89292007,5,1,0.591197411,NA,NA,NA
2,3,probability_dry_0.2mm,1H,2,0.916122857,5,1,0.451991598,NA,NA,NA
2,3,probability_dry_0.2mm,1H,3,0.925627027,5,1,0.418702284,NA,NA,NA
