Point_ID,Statistic_ID,Name,Duration,Month,Value,Point_ID2,Distance,Phi2
2,2,skewness,1H,1,6.861872139,NA,NA,NA
2,2,skewness,1H,2,6.98739562,NA,NA,NA
2,2,skewness,1H,3,7.837324149,NA,NA,NA
2,2,skewness,1H,4,12.20296495,NA,NA,NA
2,2,skewness,1H,5,13.60536952,NA,NA,NA
2,2,skewness,1H,6,17.33084233,NA,NA,NA
2,2,skewness,1H,7,16.03732423,NA,NA,NA
2,2,skewness,1H,8,13.23379818,NA,NA,NA
2,2,skewness,1H,9,13.894599,NA,NA,NA
2,2,skewness,1H,10,7.88250462,NA,NA,NA
2,2,skewness,1H,11,6.517003565,NA,NA,NA
2,2,skewness,1H,12,5.7421188,NA,NA,NA
2,3,probability_dry_0.2mm,1H,1,0.817196029,NA,NA,NA
2,3,probability_dry_0.2mm,1H,2,0.8643456,NA,NA,NA
2,3,probability_dry_0.2mm,1H,3,0.874138825,NA,NA,NA
2,3,probability_dry_0.2mm,1H,4,0.920503256,NA,NA,NA
2,3,probability_dry_0.2mm,1H,5,0.879992757,NA,NA,NA
2,3,probability_dry_0.2mm,1H,6,0.917218689,NA,NA,NA
2,3,probability_dry_0.2mm,1H,7,0.923216504,NA,NA,NA
2,3,probability_dry_0.2mm,1H,8,0.901288202,NA,NA,NA
2,3,probability_dry_0.2mm,1H,9,0.89893395,NA,NA,NA
2,3,probability_dry_0.2mm,1H,10,0.881883004,NA,NA,NA
2,3,probability_dry_0.2mm,1H,11,0.861245859,NA,NA,NA
2,3,probability_dry_0.2mm,1H,12,0.827688338,NA,NA,NA
2,4,mean,24H,1,1.732613922,NA,NA,NA
2,4,mean,24H,2,1.347776569,NA,NA,NA
2,4,mean,24H,3,1.249522703,NA,NA,NA
2,4,mean,24H,4,0.983588013,NA,NA,NA
2,4,mean,24H,5,2.33695984,NA,NA,NA
2,4,mean,24H,6,2.371884275,NA,NA,NA
2,4,mean,24H,7,2.816869213,NA,NA,NA
2,4,mean,24H,8,2.14656057,NA,NA,NA
2,4,mean,24H,9,1.686450272,NA,NA,NA
2,4,mean,24H,10,1.532037806,NA,NA,NA
2,4,mean,24H,11,1.818723086,NA,NA,NA
2,4,mean,24H,12,2.071692152,NA,NA,NA
2,5,variance,24H,1,9.755593952,NA,NA,NA
2,5,variance,24H,2,6.295215341,NA,NA,NA
2,5,variance,24H,3,6.385255464,NA,NA,NA
2,5,variance,24H,4,6.438256883,NA,NA,NA
2,5,variance,24H,5,22.00495734,NA,NA,NA
2,5,variance,24H,6,28.16239764,NA,NA,NA
2,5,variance,24H,7,37.00139701,NA,NA,NA
2,5,variance,24H,8,19.57557436,NA,NA,NA
2,5,variance,24H,9,14.41402404,NA,NA,NA
2,5,variance,24H,10,10.34850746,NA,NA,NA
2,5,variance,24H,11,12.54699942,NA,NA,NA
2,5,variance,24H,12,11.94924111,NA,NA,NA
2,6,skewness,24H,1,3.536609061,NA,NA,NA
2,6,skewness,24H,2,3.141161453,NA,NA,NA
2,6,skewness,24H,3,3.525565464,NA,NA,NA
2,6,skewness,24H,4,5.051762203,NA,NA,NA
2,6,skewness,24H,5,3.378868737,NA,NA,NA
2,6,skewness,24H,6,4.329404802,NA,NA,NA
2,6,skewness,24H,7,4.158807057,NA,NA,NA
2,6,skewness,24H,8,3.71355165,NA,NA,NA
2,6,skewness,24H,9,4.264861443,NA,NA,NA
2,6,skewness,24H,10,3.551317223,NA,NA,NA
2,6,skewness,24H,11,3.211079095,NA,NA,NA
2,6,skewness,24H,12,3.099232644,NA,NA,NA
2,7,probability_dry_0.2mm,24H,1,0.41527493,NA,NA,NA
2,7,probability_dry_0.2mm,24H,2,0.510908027,NA,NA,NA
2,7,probability_dry_0.2mm,24H,3,0.550618753,NA,NA,NA
2,7,probability_dry_0.2mm,24H,4,0.65044847,NA,NA,NA
2,7,probability_dry_0.2mm,24H,5,0.558422676,NA,NA,NA
2,7,probability_dry_0.2mm,24H,6,0.587681439,NA,NA,NA
2,7,probability_dry_0.2mm,24H,7,0.562657177,NA,NA,NA
2,7,probability_dry_0.2mm,24H,8,0.578067139,NA,NA,NA
2,7,probability_dry_0.2mm,24H,9,0.607522756,NA,NA,NA
2,7,probability_dry_0.2mm,24H,10,0.596964945,NA,NA,NA
2,7,probability_dry_0.2mm,24H,11,0.550019858,NA,NA,NA
2,7,probability_dry_0.2mm,24H,12,0.383299331,NA,NA,NA
2,8,autocorrelation_lag1,24H,1,0.236709274,NA,NA,NA
2,8,autocorrelation_lag1,24H,2,0.275898909,NA,NA,NA
2,8,autocorrelation_lag1,24H,3,0.267809232,NA,NA,NA
2,8,autocorrelation_lag1,24H,4,0.205335042,NA,NA,NA
2,8,autocorrelation_lag1,24H,5,0.236260345,NA,NA,NA
2,8,autocorrelation_lag1,24H,6,0.142887154,NA,NA,NA
2,8,autocorrelation_lag1,24H,7,0.143359969,NA,NA,NA
2,8,autocorrelation_lag1,24H,8,0.107349791,NA,NA,NA
2,8,autocorrelation_lag1,24H,9,0.130038743,NA,NA,NA
2,8,autocorrelation_lag1,24H,10,0.186921934,NA,NA,NA
2,8,autocorrelation_lag1,24H,11,0.285898719,NA,NA,NA
2,8,autocorrelation_lag1,24H,12,0.26716087,NA,NA,NA
2,9,cross-correlation_lag0,24H,1,0.735827804,3,69.20217096,0.696822166
2,9,cross-correlation_lag0,24H,1,0.727393691,4,71.96189576,1.210458835
2,9,cross-correlation_lag0,24H,1,0.91685704,5,19.40181693,0.462365588
2,9,cross-correlation_lag0,24H,1,0.890383733,6,25.87014196,0.785268148
2,9,cross-correlation_lag0,24H,1,0.848801324,7,36.46585828,0.707906405
2,9,cross-correlation_lag0,24H,1,0.896088948,8,24.45986509,1.046894789
2,9,cross-correlation_lag0,24H,1,0.810101836,9,46.92693083,0.809160312
2,9,cross-correlation_lag0,24H,1,0.89577641,10,24.53687749,1.200785875
2,9,cross-correlation_lag0,24H,1,0.77283814,11,57.68684964,0.833333333
2,9,cross-correlation_lag0,24H,1,0.867181291,12,31.70930534,1.071505388
2,9,cross-correlation_lag0,24H,1,0.80854857,13,47.36093902,0.791072687
2,9,cross-correlation_lag0,24H,1,0.838596462,14,39.16236404,0.603289048
2,9,cross-correlation_lag0,24H,1,0.809874958,15,46.99025117,0.966129065
2,9,cross-correlation_lag0,24H,2,0.769174716,3,69.20217096,0.530088504
2,9,cross-correlation_lag0,24H,2,0.762039464,4,71.96189576,0.909238736
2,9,cross-correlation_lag0,24H,2,0.926153046,5,19.40181693,0.367505232
2,9,cross-correlation_lag0,24H,2,0.902812565,6,25.87014196,0.594900211
2,9,cross-correlation_lag0,24H,2,0.866382019,7,36.46585828,0.585091432
2,9,cross-correlation_lag0,24H,2,0.90783362,8,24.45986509,0.819238901
2,9,cross-correlation_lag0,24H,2,0.832767611,9,46.92693083,0.59359777
2,9,cross-correlation_lag0,24H,2,0.907558429,10,24.53687749,0.953617016
2,9,cross-correlation_lag0,24H,2,0.800699927,11,57.68684964,0.641458352
2,9,cross-correlation_lag0,24H,2,0.882447541,12,31.70930534,0.796074073
2,9,cross-correlation_lag0,24H,2,0.831424825,13,47.36093902,0.573680083
2,9,cross-correlation_lag0,24H,2,0.857489293,14,39.16236404,0.485525409
2,9,cross-correlation_lag0,24H,2,0.832571444,15,46.99025117,0.801327467
2,9,cross-correlation_lag0,24H,3,0.725263225,3,69.20217096,0.555779576
2,9,cross-correlation_lag0,24H,3,0.717381929,4,71.96189576,0.877648592
2,9,cross-correlation_lag0,24H,3,0.908786117,5,19.40181693,0.366603414
